Crop,Area_hectares,Temperature_C,Rainfall_mm,N_kg_ha,P_kg_ha,K_kg_ha,Fertilizer_kg_ha,Irrigation_percent,Yield_tons_per_hectare
apple,7.8,18.21,581.8,53.5,23.3,34.1,54.9,36.7,10.4
rice,4.39,30.86,1868.0,62.9,40.9,47.7,197.3,68.3,2.95
chickpea,5.57,22.15,770.1,43.3,41.4,33.9,63.1,16.6,1.65
cotton,8.37,25.45,575.9,44.5,36.1,40.5,123.6,60.2,2.21
maize,8.12,18.87,868.9,107.3,34.3,43.6,123.0,59.3,5.08
watermelon,3.46,24.2,466.1,53.4,34.2,33.6,85.4,51.8,24.35
grapes,11.54,29.88,591.4,50.1,28.8,44.3,100.2,70.0,9.92
banana,11.4,22.98,1314.1,84.0,23.7,57.6,165.1,90.2,39.04
banana,3.67,22.1,1476.2,38.8,42.7,60.9,194.8,82.0,32.15
blackgram,12.79,25.79,572.5,50.4,27.5,27.7,72.7,17.4,1.88
jute,7.2,20.78,1520.6,53.6,30.6,32.2,129.6,72.5,2.76
maize,12.12,22.33,804.3,95.6,45.1,48.1,183.3,59.6,7.56
chickpea,3.68,26.24,587.5,40.6,26.5,44.1,99.1,36.4,2.12
apple,7.76,18.91,741.1,44.4,33.1,44.1,105.5,29.4,13.86
mothbeans,14.13,24.35,608.0,26.5,17.7,25.9,64.5,18.5,1.3
pigeonpeas,9.0,26.69,1020.1,44.1,40.4,41.8,87.3,48.4,1.47
chickpea,26.37,17.61,758.3,41.4,29.1,34.1,43.3,10.2,1.88
rice,2.91,26.51,1281.7,88.2,54.0,40.6,160.1,61.8,5.24
pomegranate,7.16,28.9,796.7,54.2,39.2,55.5,92.2,39.5,11.35
mungbean,6.43,25.18,650.0,30.7,26.9,27.7,85.9,47.9,1.05
coconut,7.03,32.58,1105.7,71.6,19.0,47.5,119.7,62.7,8.39
grapes,16.13,24.17,940.2,49.8,24.2,46.1,146.4,30.7,9.07
pigeonpeas,14.04,28.67,1033.8,41.1,28.6,34.3,81.2,57.9,2.16
papaya,2.94,25.82,982.8,83.8,36.8,61.3,179.2,56.8,32.0
blackgram,14.51,25.56,1147.0,45.1,30.2,23.6,122.8,34.3,1.3
mango,2.15,24.11,1029.5,57.8,39.6,34.9,144.8,57.5,6.34
pigeonpeas,4.52,28.91,982.4,65.0,26.6,50.0,73.1,61.6,1.77
lentil,12.92,16.7,569.0,42.2,14.0,21.3,71.1,30.8,1.76
banana,2.15,25.98,1534.8,61.2,39.3,75.8,153.4,91.1,28.27
jute,3.04,29.25,848.9,70.7,27.1,39.9,127.1,57.5,2.85
pomegranate,3.14,20.6,503.6,50.5,26.6,28.0,97.0,30.5,10.55
mango,4.51,22.8,1024.4,76.4,10.0,66.6,125.4,52.5,7.22
rice,2.81,26.74,994.8,93.9,44.4,29.0,203.6,74.6,4.26
blackgram,5.44,29.28,662.9,47.3,27.7,20.4,83.1,44.6,1.82
maize,6.19,23.66,876.4,83.4,42.1,27.4,154.0,42.8,5.77
chickpea,7.16,20.42,747.0,37.8,41.6,26.7,113.6,17.3,2.02
mungbean,19.03,29.25,523.0,43.7,18.3,29.4,40.0,39.6,1.38
mungbean,13.6,27.78,559.5,29.3,45.2,30.8,116.9,28.8,1.68
mango,8.7,26.96,957.9,68.7,42.3,65.1,125.6,82.9,9.52
mungbean,10.62,31.84,323.9,45.3,16.5,30.3,88.6,15.2,1.47
muskmelon,8.64,28.55,332.3,68.2,43.5,38.2,99.4,25.6,18.14
muskmelon,1.88,28.48,407.6,65.2,24.9,38.4,95.7,55.4,18.52
watermelon,8.11,28.34,790.4,35.6,23.0,52.2,104.2,60.1,18.78
coffee,6.91,17.34,2065.1,56.9,38.4,31.9,162.0,79.2,1.5
mango,9.74,22.34,969.9,52.9,29.5,54.2,81.7,50.3,8.1
chickpea,6.43,27.26,412.0,20.0,32.4,36.7,111.0,10.0,1.91
coconut,5.87,23.47,1245.4,56.7,35.4,57.9,141.3,57.1,6.46
mothbeans,19.17,25.62,383.0,54.6,31.7,29.0,60.9,47.8,1.34
papaya,4.44,26.51,1323.9,87.8,31.3,77.7,166.0,90.1,40.66
papaya,8.09,30.41,1660.3,51.1,31.5,50.9,164.6,67.4,29.73
mango,12.04,30.21,696.1,58.0,25.8,59.3,108.7,51.5,10.62
orange,5.5,24.29,686.2,49.6,21.4,47.7,116.0,45.4,12.88
mothbeans,12.63,34.54,470.0,45.3,26.9,25.2,42.3,25.5,0.88
mango,1.47,22.89,756.2,39.9,39.5,47.5,85.6,56.7,8.63
grapes,3.47,21.64,707.3,51.2,36.4,47.8,77.9,34.0,8.63
maize,8.94,22.86,456.0,101.0,38.5,30.5,126.6,74.2,7.22
rice,3.15,25.7,1183.1,106.2,37.1,38.1,168.1,66.6,4.45
mothbeans,7.01,25.42,369.4,27.1,22.3,21.6,69.5,10.0,1.4
pomegranate,8.97,27.24,616.9,49.6,28.1,53.0,90.1,32.5,10.89
chickpea,7.35,25.52,565.7,31.6,35.0,39.9,94.1,49.2,2.0
mango,4.03,24.41,748.0,70.0,26.3,53.6,120.8,37.5,6.63
jute,30.0,23.57,1031.0,61.7,35.4,50.6,109.7,66.4,2.48
mungbean,8.67,28.53,895.8,40.6,25.4,28.2,84.2,25.7,1.4
chickpea,4.93,23.6,735.3,57.5,32.7,25.8,65.3,24.6,2.28
lentil,21.87,18.99,496.2,54.7,40.1,26.7,40.0,27.5,1.54
blackgram,2.97,25.99,690.2,59.6,16.5,39.7,69.3,39.3,1.45
kidneybeans,5.99,19.52,371.6,62.2,46.6,55.9,106.9,58.2,1.85
orange,2.89,20.59,873.3,54.0,25.5,40.3,104.7,50.3,14.15
lentil,7.35,23.74,534.7,50.6,40.7,18.9,53.6,48.6,1.49
jute,17.39,25.5,1074.6,83.3,30.1,35.4,139.5,53.8,3.07
chickpea,9.98,23.72,594.5,46.3,23.2,34.7,103.2,42.1,2.17
mothbeans,6.16,27.55,658.1,47.7,10.0,24.5,69.8,10.0,0.88
papaya,4.09,31.8,1358.3,57.7,29.5,67.4,137.6,73.0,33.36
lentil,5.22,18.82,481.3,58.3,26.3,34.2,40.0,18.9,1.62
kidneybeans,9.13,17.32,537.1,52.6,25.3,34.7,106.5,48.6,2.29
orange,6.71,21.24,1037.2,43.6,37.4,54.8,99.5,33.3,16.63
rice,9.98,28.46,1424.6,78.0,27.7,39.1,158.7,82.3,3.81
pigeonpeas,2.24,27.12,810.1,41.9,33.5,48.5,81.9,41.8,2.33
grapes,2.55,20.56,887.4,61.4,37.2,51.1,104.9,34.3,8.15
mothbeans,6.6,29.05,356.2,32.1,25.2,26.9,122.7,32.2,1.11
rice,4.65,27.51,1163.8,59.6,46.1,44.7,157.1,69.5,4.39
pomegranate,5.75,26.28,649.5,55.0,30.8,46.5,89.5,41.6,11.2
coffee,7.92,27.38,1405.5,54.3,38.0,48.3,79.8,44.5,2.12
papaya,5.56,23.08,1248.6,56.3,36.3,73.2,154.7,95.0,28.5
mothbeans,4.25,26.55,471.0,31.3,24.2,11.2,60.7,30.4,1.2
maize,2.36,27.35,724.4,96.5,24.0,34.3,175.9,85.2,6.57
watermelon,3.98,24.62,635.3,61.1,33.1,22.9,122.9,37.7,24.54
watermelon,30.0,28.61,564.1,65.2,25.4,46.8,96.5,47.2,27.64
rice,9.88,30.14,912.8,84.0,48.8,27.5,143.0,71.1,3.51
kidneybeans,9.49,25.12,759.0,67.1,31.6,38.9,83.9,48.4,2.15
maize,7.71,24.39,642.4,68.2,37.5,32.3,184.8,54.1,6.33
muskmelon,6.74,25.85,452.8,54.7,35.9,25.8,114.1,37.5,15.57
coffee,8.22,23.25,2078.9,83.0,25.5,36.6,127.4,69.1,1.89
coconut,6.62,31.12,1632.4,45.9,26.1,71.1,132.9,65.4,8.43
papaya,14.53,30.79,909.9,76.0,22.9,56.1,184.0,62.5,34.1
cotton,6.52,28.7,953.8,72.9,36.1,58.3,153.0,48.2,1.84
blackgram,8.29,26.38,677.1,50.7,25.8,35.3,96.6,25.8,1.52
coffee,2.23,25.39,1855.5,88.8,43.9,49.6,112.0,60.7,1.41
chickpea,2.45,23.2,745.5,39.6,34.7,31.3,89.1,21.5,2.0
coconut,21.49,31.71,1919.3,59.4,23.3,57.6,167.4,53.1,5.05
coconut,6.61,29.35,819.2,52.6,37.0,57.8,133.9,81.4,8.56
watermelon,9.18,24.65,558.4,67.2,21.2,66.3,107.7,46.7,22.55
coconut,3.03,32.83,1629.3,72.2,37.3,53.1,127.8,67.9,8.56
banana,13.33,33.57,1419.3,111.9,40.8,73.5,186.3,82.3,25.06
watermelon,6.12,29.45,660.6,56.0,18.5,46.9,81.7,32.7,22.03
blackgram,4.76,29.58,858.0,40.3,38.0,30.6,112.3,16.2,1.08
mango,6.78,19.04,1245.9,52.5,21.5,39.7,141.5,36.8,9.18
mungbean,3.71,28.16,674.2,49.3,24.5,33.8,53.4,10.0,1.6
kidneybeans,9.03,16.48,506.7,66.4,56.7,30.8,97.3,39.1,1.87
muskmelon,10.29,29.82,598.3,52.1,31.3,43.1,76.0,46.2,21.95
blackgram,9.77,24.08,774.3,39.5,31.1,24.1,40.0,20.3,1.43
cotton,7.98,30.46,764.7,90.7,19.3,49.8,169.1,61.7,2.31
pomegranate,5.78,24.14,696.3,61.5,16.5,49.4,114.5,25.4,10.97
kidneybeans,5.58,18.06,612.8,34.3,44.0,28.3,88.5,41.7,1.8
coffee,6.09,19.3,1780.7,72.3,27.7,54.3,96.9,88.2,2.29
cotton,12.92,29.61,927.8,58.1,45.1,43.8,197.6,63.7,2.09
apple,4.61,18.59,790.8,31.2,25.8,39.3,77.9,46.1,12.33
mungbean,6.78,25.52,634.3,45.6,21.6,21.9,43.0,27.0,1.01
banana,6.75,25.62,1412.1,110.8,33.8,72.7,258.1,80.5,27.6
papaya,4.32,27.06,1291.8,74.3,22.4,63.7,114.2,68.6,41.92
grapes,3.54,23.41,786.9,37.3,33.0,42.5,123.2,42.3,10.32
coconut,4.95,28.08,1358.4,49.4,31.6,52.9,98.6,61.1,10.86
pomegranate,6.78,26.97,708.0,48.2,25.8,52.5,108.7,21.0,10.12
cotton,5.27,23.74,772.4,76.6,51.4,47.5,142.3,38.2,2.76
apple,5.48,21.23,861.8,47.1,32.0,49.8,86.9,63.0,12.08
pigeonpeas,6.52,24.2,852.1,47.1,31.7,44.7,76.2,67.2,1.7
watermelon,1.24,26.07,490.3,61.2,35.9,38.7,163.5,46.1,17.1
chickpea,8.79,25.92,441.7,38.8,39.4,45.7,127.0,45.2,1.55
orange,1.86,22.69,736.8,52.5,37.5,44.4,99.5,73.4,13.25
rice,4.62,27.93,1407.2,76.1,39.6,24.0,124.4,73.3,4.51
chickpea,3.22,21.0,837.6,25.9,37.4,39.4,96.5,40.7,1.58
lentil,5.61,15.1,653.1,20.6,16.6,24.1,71.7,28.8,1.72
muskmelon,3.53,24.25,420.7,61.4,37.3,57.5,117.9,49.8,17.63
lentil,4.23,19.0,621.3,48.2,33.9,35.6,92.5,26.0,1.78
lentil,9.13,14.37,495.1,40.9,29.1,51.0,40.0,45.6,1.38
orange,3.92,23.73,1000.0,41.0,29.1,52.7,125.1,36.4,17.21
papaya,8.05,25.73,1242.5,84.9,29.8,34.9,93.2,88.7,31.15
mango,3.36,24.31,825.4,63.6,25.7,36.3,106.0,35.5,8.64
jute,5.88,28.2,1219.2,87.6,34.8,36.6,112.7,89.5,2.62
chickpea,3.71,18.61,510.5,31.2,34.7,27.5,46.6,33.9,2.39
jute,2.61,26.29,1099.3,87.4,36.4,41.5,64.6,74.8,2.89
watermelon,4.62,29.34,879.4,61.8,22.2,49.3,127.1,36.6,27.96
pomegranate,4.5,22.92,750.4,40.1,28.8,50.0,89.2,51.1,12.72
banana,4.04,31.0,1446.3,76.1,40.6,74.8,200.2,61.6,36.1
mothbeans,6.33,27.0,584.9,47.6,25.2,10.0,44.5,10.0,1.42
watermelon,11.46,22.29,513.9,49.7,32.5,48.1,111.2,31.0,23.28
pomegranate,6.24,21.24,645.6,51.0,49.6,46.7,76.6,29.6,12.38
maize,8.37,24.97,552.4,74.1,30.6,39.2,79.6,48.0,6.39
mothbeans,1.17,28.67,635.2,28.2,24.3,33.6,48.9,32.8,1.18
lentil,8.59,16.58,620.3,41.6,28.3,26.1,53.3,19.8,1.87
muskmelon,2.76,30.83,659.7,43.2,26.3,43.0,83.7,31.1,15.0
watermelon,9.3,26.53,791.0,59.4,28.4,47.5,136.2,55.6,22.03
chickpea,2.8,23.16,573.9,39.7,44.5,47.4,114.9,19.3,2.49
apple,12.45,15.42,980.4,53.7,22.6,47.4,81.8,29.5,13.74
mothbeans,10.41,28.77,642.2,39.4,32.7,23.8,79.0,44.1,1.19
grapes,8.32,25.35,866.6,35.6,28.4,37.5,119.1,59.0,10.28
muskmelon,8.29,26.62,512.6,49.4,27.0,44.4,77.6,18.9,17.47
coconut,8.74,29.22,1000.8,56.6,27.3,60.1,125.3,65.6,7.08
orange,15.36,24.62,1041.5,62.0,25.7,52.5,116.7,51.0,12.89
maize,7.6,23.56,710.3,107.4,34.1,40.8,178.0,58.2,6.17
banana,10.46,30.49,1061.0,110.9,29.9,85.8,130.3,68.1,26.73
rice,3.97,24.31,1525.0,66.8,42.7,23.2,143.9,55.6,4.5
cotton,2.86,26.16,831.6,102.1,21.4,33.6,166.4,46.7,2.24
apple,26.26,19.12,1099.1,28.2,35.9,33.2,50.0,36.9,8.76
maize,6.59,25.34,756.7,75.0,40.4,40.7,150.9,58.7,6.49
pomegranate,8.82,24.96,811.0,73.1,30.5,39.3,89.5,53.6,12.22
watermelon,5.38,24.96,317.2,52.9,29.4,58.9,119.2,35.4,24.6
lentil,13.54,19.75,625.0,25.3,33.5,14.8,90.8,29.4,1.59
banana,6.86,25.42,1378.8,94.9,23.8,71.8,211.3,94.6,26.62
jute,5.29,32.71,746.6,69.3,32.8,27.1,170.5,66.7,1.98
lentil,5.57,18.67,509.3,26.7,22.4,39.5,50.2,47.7,1.26
kidneybeans,2.67,16.48,632.5,36.9,54.3,33.2,71.2,50.7,1.49
pigeonpeas,3.36,26.9,519.5,65.4,39.0,33.2,91.4,10.0,2.03
coconut,5.16,23.22,1705.9,46.0,32.8,63.5,146.2,59.2,7.39
rice,8.7,25.22,1051.3,88.7,43.5,43.7,161.3,87.9,4.96
mungbean,15.01,30.75,615.9,36.4,35.4,24.9,40.9,50.0,1.03
cotton,8.47,30.85,953.7,77.4,34.8,44.5,181.7,49.1,2.25
kidneybeans,4.05,24.44,760.9,60.6,26.8,34.9,115.8,28.3,1.69
pigeonpeas,12.71,27.77,994.7,63.4,30.9,39.8,72.8,36.8,1.47
mothbeans,14.27,29.09,531.3,34.7,33.6,19.9,46.7,30.9,1.36
kidneybeans,6.72,21.31,762.0,50.2,48.3,34.1,54.5,36.1,1.81
rice,6.72,25.31,1227.5,89.2,40.9,31.4,140.6,95.0,4.29
rice,9.02,26.48,1121.5,100.8,37.3,36.5,121.8,71.9,4.26
lentil,7.9,18.25,563.8,45.1,33.9,23.2,61.2,10.0,1.28
jute,5.57,27.3,1661.7,40.1,35.4,35.0,133.5,77.7,2.39
apple,9.72,12.48,924.2,56.7,39.2,36.9,87.3,28.1,9.02
papaya,6.55,21.26,1305.6,75.1,37.5,48.9,143.9,76.6,25.23
coffee,5.2,20.82,1535.4,53.4,34.4,47.1,98.2,73.4,2.8
maize,5.36,21.36,591.5,133.5,33.5,56.0,172.4,46.1,5.82
pomegranate,18.09,26.86,617.6,42.0,19.9,51.5,103.9,24.8,9.46
coffee,9.04,19.46,1628.1,61.5,48.7,47.0,126.7,79.2,2.09
orange,5.99,30.67,916.2,50.6,17.8,55.6,113.3,39.4,13.21
rice,10.74,31.16,1352.9,55.6,37.5,46.0,111.4,76.3,5.0
mungbean,4.0,25.4,702.8,28.7,36.6,30.8,82.8,42.1,1.52
cotton,3.28,22.56,797.5,91.2,36.8,54.5,150.9,67.6,2.61
kidneybeans,1.82,25.84,483.0,72.3,35.4,42.2,115.4,33.6,2.24
coffee,4.37,23.92,1631.7,52.3,32.8,27.6,98.1,56.5,2.21
maize,13.58,26.72,374.4,71.1,53.8,49.3,162.3,44.8,6.05
watermelon,17.01,29.94,688.2,53.0,41.9,33.3,115.9,42.5,33.48
pigeonpeas,5.64,24.47,783.2,37.5,33.7,46.0,74.7,51.1,1.64
lentil,7.83,19.25,689.2,36.8,40.0,32.4,54.0,43.5,1.65
pigeonpeas,19.69,25.18,667.3,34.4,37.5,46.2,71.2,45.7,1.66
banana,8.84,29.73,1343.5,87.0,27.1,69.6,232.1,74.9,22.21
kidneybeans,9.94,27.0,602.1,75.6,48.6,18.2,109.3,53.9,2.26
pigeonpeas,3.73,27.88,707.8,50.7,30.4,39.6,73.5,65.9,1.7
papaya,11.24,18.29,1171.4,87.4,22.6,39.8,186.2,71.0,24.82
cotton,7.46,26.82,637.3,93.8,29.5,38.1,203.4,47.8,2.29
watermelon,3.82,22.01,795.8,88.9,29.5,58.4,102.8,29.9,19.24
orange,8.09,21.05,702.6,42.7,27.6,32.2,90.3,41.0,16.06
apple,4.21,15.81,386.4,59.1,28.6,34.7,80.4,27.0,10.9
chickpea,6.31,21.45,704.3,62.9,33.8,45.0,93.3,48.8,2.25
kidneybeans,2.97,21.67,753.7,59.5,52.3,27.0,74.6,42.5,1.95
mango,6.16,31.38,641.2,64.8,35.3,39.2,145.4,64.2,8.94
jute,4.26,26.83,1298.5,72.8,23.3,31.5,82.4,55.3,2.93
papaya,14.14,31.41,1329.4,36.6,38.9,72.2,120.4,66.3,26.28
kidneybeans,8.75,19.8,635.1,52.6,46.4,29.0,129.5,24.8,2.62
coconut,8.71,33.15,1337.4,62.8,26.0,55.5,95.3,87.7,8.55
pomegranate,6.71,27.65,633.8,60.3,26.6,40.8,88.7,36.4,12.27
pigeonpeas,20.3,31.35,892.0,49.0,36.5,28.0,73.4,36.4,1.85
pigeonpeas,5.08,28.33,564.2,44.2,24.6,51.8,78.3,58.9,1.61
jute,5.45,30.4,892.7,81.9,21.2,32.4,112.3,66.6,2.56
chickpea,8.7,24.81,734.8,52.9,38.4,61.4,71.8,26.0,1.98
cotton,1.71,30.96,446.5,70.8,37.4,48.5,154.7,55.8,2.75
banana,1.94,30.14,1753.5,81.7,47.0,53.4,199.7,81.1,24.29
coffee,11.19,18.41,2214.9,54.6,34.3,65.8,101.5,75.0,1.97
pomegranate,4.75,25.03,550.4,49.4,29.7,49.4,88.4,42.0,12.62
jute,3.25,27.8,1287.2,96.0,32.0,40.3,122.8,56.7,3.51
mungbean,5.9,29.5,713.9,50.0,34.3,32.9,74.6,15.1,1.9
mango,8.29,22.53,881.3,50.4,15.5,42.5,130.5,31.0,7.9
mungbean,6.48,31.04,562.1,38.5,21.2,16.6,60.4,20.5,1.11
mothbeans,13.43,29.73,480.3,29.4,27.8,31.9,67.2,36.1,1.48
maize,11.74,24.02,798.3,76.9,48.3,40.6,145.0,57.2,5.99
cotton,2.66,23.76,980.3,70.9,19.3,49.1,115.4,60.9,2.64
pigeonpeas,5.22,25.15,843.7,67.2,32.2,48.1,108.0,50.0,1.68
rice,4.26,29.03,1126.6,91.6,43.6,32.8,115.5,69.6,4.27
mothbeans,14.56,33.24,343.5,32.4,15.9,11.9,73.0,23.5,1.25
pomegranate,4.72,29.79,657.3,46.7,30.8,45.9,90.2,46.2,10.84
mothbeans,14.34,27.95,532.1,40.6,32.4,23.3,90.4,24.8,1.79
pigeonpeas,4.05,32.36,857.2,49.2,28.9,52.7,103.7,62.0,1.21
cotton,11.64,25.63,836.7,71.0,30.3,35.6,149.1,48.7,2.17
pigeonpeas,7.01,32.42,765.8,55.7,23.6,27.6,92.3,59.9,1.76
orange,15.59,18.21,561.7,42.7,38.5,37.2,95.5,41.2,12.86
muskmelon,7.91,24.56,796.1,66.7,32.4,47.0,83.2,19.0,16.67
papaya,17.12,30.13,1716.9,60.9,26.0,37.3,142.2,75.0,27.68
chickpea,8.05,23.14,379.6,34.1,18.5,29.6,53.2,39.2,2.37
mungbean,2.72,25.91,698.0,32.2,31.7,29.4,64.2,21.1,1.26
orange,4.69,24.12,1083.4,53.9,33.2,31.0,117.5,44.7,13.08
orange,4.1,20.87,730.7,67.8,23.0,32.0,85.9,34.6,11.07
orange,8.94,21.78,253.7,47.0,32.1,35.6,90.8,32.7,15.1
banana,4.7,29.39,1454.0,63.1,34.9,44.7,174.4,66.2,20.04
jute,6.1,26.28,1867.8,63.9,36.9,37.0,135.0,56.4,2.78
watermelon,26.96,27.83,586.1,60.7,36.7,50.4,81.0,58.6,32.4
jute,5.61,27.48,1743.4,92.6,29.3,30.2,96.9,62.1,2.62
mothbeans,9.09,31.1,465.3,41.1,37.6,23.7,68.9,10.0,1.33
blackgram,7.72,31.67,783.6,58.0,30.7,40.6,85.0,37.9,1.77
rice,3.86,26.5,1290.7,81.4,42.6,48.0,115.1,80.7,4.15
muskmelon,12.65,30.2,717.6,68.5,18.6,36.2,96.4,55.7,14.18
